name,age,height,citizenship,position,foot,current club,current league
Florian Miguel,24,"1,79 m",France  Portugal,Defender - Left-Back,left,Nîmes Olympique,Ligue 1
Patrick Burner,24,"1,70 m",France  Martinique,Defender - Right-Back,right,Nîmes Olympique,Ligue 1
Sofiane Alakouch,22,"1,75 m",France  Morocco,Defender - Right-Back,right,Nîmes Olympique,Ligue 1
Gaëtan Paquiez,26,"1,82 m",France,Defender - Right-Back,left,Nîmes Olympique,Ligue 1
Andrés Cubas,24,"1,66 m",Paraguay  Argentina,midfield - Defensive Midfield,right,Nîmes Olympique,Ligue 1
Sidy Sarr,24,"1,96 m",Senegal,midfield - Defensive Midfield,left,Nîmes Olympique,Ligue 1
Lucas Deaux,32,"1,88 m",France,midfield - Defensive Midfield,right,Nîmes Olympique,Ligue 1
Mattéo Ahlinvi,21,"1,83 m",Benin  France,midfield - Defensive Midfield,left,Nîmes Olympique,Ligue 1
Lamine Fomba,22,"1,87 m",France  Mali,midfield - Central Midfield,right,Nîmes Olympique,Ligue 1
Antoine Valerio,21,"1,85 m",France,midfield - Central Midfield,,Nîmes Olympique,Ligue 1
Zinedine Ferhat,27,"1,80 m",Algeria,midfield - Right Midfield,right,Nîmes Olympique,Ligue 1
Renaud Ripart,27,"1,81 m",France,midfield - Right Midfield,right,Nîmes Olympique,Ligue 1
Lucas Buades,23,"1,81 m",France,midfield - Right Midfield,right,Nîmes Olympique,Ligue 1
