;Players;Values
26;André Ayew;15,00 Mio. €  
27;Wayne Routledge;1,50 Mio. €  
28;Daniel James; 
29;Luciano Narsingh;5,00 Mio. €  
30;Nathan Dyer;2,50 Mio. €  
31;Tammy Abraham;10,00 Mio. €  
32;Wilfried Bony;10,00 Mio. €  
33;Jordan Ayew;8,00 Mio. €  
34;Oliver McBurnie;1,00 Mio. €  
35;Courtney Baker-Richardson; 
0;Jack Butland;22,00 Mio. €  
1;Lee Grant;1,00 Mio. €  
2;Jakob Haugaard;500 Tsd. €  
3;Kurt Zouma;15,00 Mio. €  
4;Kevin Wimmer;10,00 Mio. €  
5;Bruno Martins Indi;10,00 Mio. €  
6;Ryan Shawcross;10,00 Mio. €  
7;Philipp Wollscheid;2,50 Mio. €  
8;Ryan Sweeney;250 Tsd. €  
9;Harry Souttar;200 Tsd. €  
10;Erik Pieters;6,00 Mio. €  
11;Konstantinos Stafylidis;3,50 Mio. €  
12;Josh Tymon;2,00 Mio. €  
13;Moritz Bauer;5,00 Mio. €  
14;Glen Johnson;2,50 Mio. €  
15;Tom Edwards;1,00 Mio. €  
16;Geoff Cameron;2,50 Mio. €  
17;Joe Allen;18,00 Mio. €  
18;Badou Ndiaye;15,00 Mio. €  
19;Charlie Adam;2,50 Mio. €  
20;Darren Fletcher;2,00 Mio. €  
21;Lasse Sörensen; 
22;Ibrahim Afellay;1,50 Mio. €  
23;Stephen Ireland;1,00 Mio. €  
24;Jesé;7,50 Mio. €  
25;Ramadan Sobhi;7,00 Mio. €  
26;Xherdan Shaqiri;18,00 Mio. €  
27;Thibaud Verlinden;250 Tsd. €  
28;Bojan Krkic;1,50 Mio. €  
29;Saido Berahino;8,00 Mio. €  
30;Eric Maxim Choupo-Moting;8,00 Mio. €  
31;Mame Diouf;7,00 Mio. €  
32;Peter Crouch;1,00 Mio. €  
33;Julien Ngoy;250 Tsd. €  
34;Tyrese Campbell; 
0;Ben Foster;3,00 Mio. €  
1;Boaz Myhill;1,00 Mio. €  
2;Alex Palmer; 
3;Jonny Evans;15,00 Mio. €  
4;Craig Dawson;8,00 Mio. €  
5;Ahmed Hegazy;5,00 Mio. €  
6;Ali Gabr;1,50 Mio. €  
