;Players;Values
11;Vitorino Antunes;3,50 Mio. €  
12;Mathí­as Olivera;800 Tsd. €  
13;Damián Suárez;2,50 Mio. €  
14;Francisco Molinero;600 Tsd. €  
15;Markel Bergara;1,50 Mio. €  
16;Mehdi Lacen;800 Tsd. €  
17;Mathieu Flamini;600 Tsd. €  
18;Mauro Arambarri;3,00 Mio. €  
19;Fayçal Fajr;2,50 Mio. €  
20;Gaku Shibasaki;1,80 Mio. €  
21;Sergio Mora;100 Tsd. €  
22;Gustavo Quezada; 
23;Diego Barri; 
24;Amath Ndiaye;5,00 Mio. €  
25;Jefferson Montero;1,50 Mio. €  
26;Merveil Ndockyt;1,00 Mio. €  
27;Dani Pacheco;800 Tsd. €  
28;Francisco Portillo;2,00 Mio. €  
29;Álvaro Jiménez;900 Tsd. €  
30;Carlos Calderón;- 
31;Loïc Rémy;6,00 Mio. €  
32;Ángel Rodríguez;4,00 Mio. €  
33;Chuli;500 Tsd. €  
34;Jorge Molina;500 Tsd. €  
35;Hugo Duro; 
0;Fernando Pacheco;9,00 Mio. €  
1;Antonio Sivera;1,00 Mio. €  
2;Ioritz Landeta; 
3;Aritz Castro; 
4;Rodrigo Ely;6,00 Mio. €  
5;Víctor Laguardia;1,80 Mio. €  
6;Alexis Ruano;1,50 Mio. €  
7;Guillermo Maripán;1,50 Mio. €  
8;Adrián Diéguez;400 Tsd. €  
9;Alfonso Pedraza;5,00 Mio. €  
10;Rubén Duarte;2,00 Mio. €  
11;Héctor Hernández;300 Tsd. €  
12;Martín Aguirregabiria;1,50 Mio. €  
13;Carlos Vigaray;800 Tsd. €  
14;Víctor López; 
15;Manu García;1,80 Mio. €  
16;Dani Torres;1,50 Mio. €  
17;Tomás Pina;1,80 Mio. €  
18;Álvaro Medrán;1,80 Mio. €  
19;Mubarak Wakaso;1,20 Mio. €  
20;Einar Galilea;150 Tsd. €  
21;Óscar Romero;4,00 Mio. €  
22;Enzo Zidane;1,50 Mio. €  
23;Burgui;1,80 Mio. €  
24;Aleksandar Katai;1,25 Mio. €  
25;Ibai Gómez;3,50 Mio. €  
26;Hernán Pérez;1,20 Mio. €  
27;Bojan Krkic;1,50 Mio. €  
28;Munir El Haddadi;12,00 Mio. €  
29;John Guidetti;5,00 Mio. €  
30;Rubén Sobrino;2,00 Mio. €  
31;Christian Santos;1,00 Mio. €  
32;Ermedin Demirovic;1,00 Mio. €  
0;Jon Ander Serantes;800 Tsd. €  
1;Iván Cuéllar;600 Tsd. €  
2;Nereo Champagne;300 Tsd. €  
3;Dimitrios Siovas;3,00 Mio. €  
4;Unai Bustinza;1,80 Mio. €  
5;Ezequiel Muñoz;1,50 Mio. €  
6;Mauro dos Santos;1,20 Mio. €  
7;Martín Mantovani;500 Tsd. €  
8;Diego Rico;2,50 Mio. €  
9;Raúl Carnero;900 Tsd. €  
10;Joseba Zaldua;4,00 Mio. €  
11;Tito;800 Tsd. €  
12;Dani Gallardo; 
13;Gabriel;10,00 Mio. €  
14;Rubén Pérez;7,50 Mio. €  
15;Gerard Gumbau;1,50 Mio. €  
16;Erik Morán;900 Tsd. €  
17;Darko Brasanac;2,00 Mio. €  
18;Jaime Sierra; 
19;Álex Mozo; 
20;Javi Eraso;3,00 Mio. €  
21;Alexander Szymanowski;2,00 Mio. €  
22;José Naranjo;1,50 Mio. €  
23;Nordin Amrabat;3,00 Mio. €  
24;Nabil El Zhar;2,00 Mio. €  
25;Omar Ramos;1,20 Mio. €  
26;Yahia Al-Shehri;800 Tsd. €  
27;Sergio Arribas; 
28;William De Camargo; 
29;Claudio Beauvue;2,50 Mio. €  
30;Miguel Ángel Guerrero;1,80 Mio. €  
31;Mamadou Koné;900 Tsd. €  
32;Leonardo Rocha;50 Tsd. €  
33;Gabri Salazar; 
0;Oier Olazábal;1,50 Mio. €  
1;Raúl Fernández;1,00 Mio. €  
2;Mitchell Langerak;1,00 Mio. €  
3;Iván Villar;300 Tsd. €  
4;Koke Vegas;100 Tsd. €  
5;Rober Pier;2,00 Mio. €  
6;Chema;2,00 Mio. €  
7;Sergio Postigo;2,00 Mio. €  
8;Erick Cabaco;1,50 Mio. €  
9;Antonio Luna;2,00 Mio. €  
10;Toño;1,50 Mio. €  
11;Aly Abeid;100 Tsd. €  
12;Coke;2,00 Mio. €  
13;Iván López;600 Tsd. €  
14;Shaq Moore;500 Tsd. €  
15;Pedro López;300 Tsd. €  
16;Jefferson Lerma;2,00 Mio. €  
17;Cheick Doukouré;1,50 Mio. €  
18;José Campaña;5,00 Mio. €  
19;Sasa Lukic;1,50 Mio. €  
20;Verza;600 Tsd. €  
21;El Hacen;150 Tsd. €  
22;Youssouf Yalike; 
23;Enis Bardhi;6,00 Mio. €  
24;Ivi López;2,00 Mio. €  
25;Rubén Rochina;1,50 Mio. €  
26;Jason;1,20 Mio. €  
27;Samu García;1,00 Mio. €  
28;Fahad Al-Muwallad;1,00 Mio. €  
29;Enes Ünal;8,00 Mio. €  
30;José Luis Morales;5,00 Mio. €  
31;Roger Martí;2,00 Mio. €  
32;Emmanuel Boateng;2,00 Mio. €  
33;Armando Sadiku;800 Tsd. €  
34;Giampaolo Pazzini;800 Tsd. €  
35;Alex Alegría;800 Tsd. €  
36;Nano Mesa;600 Tsd. €  
0;Marko Dmitrovic;4,00 Mio. €  
1;Yoel Rodríguez;1,50 Mio. €  
2;Asier Riesgo;400 Tsd. €  
3;Markel Areitio;200 Tsd. €  
4;Vukasin Jovanovic;3,00 Mio. €  
5;Paulo Oliveira;3,00 Mio. €  
6;Anaitz Arbilla;2,00 Mio. €  
7;Alejandro Gálvez;1,50 Mio. €  
8;David Lombán;1,20 Mio. €  
9;Iván Ramis;500 Tsd. €  
10;Julen López;300 Tsd. €  
11;José Ángel;2,50 Mio. €  
12;David Juncà;1,50 Mio. €  
13;Ander Capa;3,00 Mio. €  
14;Rubén Peña;2,00 Mio. €  
15;Pape Diop;1,00 Mio. €  
16;Dani García;4,00 Mio. €  
17;Joan Jordán;4,00 Mio. €  
18;Gonzalo Escalante;2,50 Mio. €  
19;Fran Rico;800 Tsd. €  
20;Christian Rivera;700 Tsd. €  
21;Imanol Sarriegi;300 Tsd. €  
22;Julen Azkue;250 Tsd. €  
23;Takashi Inui;5,00 Mio. €  
24;Bebé;1,00 Mio. €  
25;Fabián Orellana;2,00 Mio. €  
26;Iván Alejo;2,00 Mio. €  
27;Pedro León;2,00 Mio. €  
28;Crespi;250 Tsd. €  
29;Ángel López;150 Tsd. €  
30;Sergi Enrich;3,00 Mio. €  
31;Kike García;3,00 Mio. €  
32;Charles;1,50 Mio. €  
0;Costel Pantilimon;1,50 Mio. €  
1;Maksym Koval;1,00 Mio. €  
2;Rubén Martínez;800 Tsd. €  
3;Przemyslaw Tyton;600 Tsd. €  
4;Francis Uzoho;300 Tsd. €  
5;Sidnei;4,00 Mio. €  
6;Fabian Schär;3,00 Mio. €  
7;Alejandro Arribas;2,00 Mio. €  
8;Raúl Albentosa;1,50 Mio. €  
9;Aldo One;200 Tsd. €  
10;Quique Fornos;150 Tsd. €  
11;Mujaid Sadick; 
12;Luisinho;1,20 Mio. €  
13;Saúl García;600 Tsd. €  
14;Fernando Navarro;100 Tsd. €  
15;Juanfran;4,00 Mio. €  
16;Eneko Bóveda;1,50 Mio. €  
17;Gerard Valentín;500 Tsd. €  
18;Blas Alonso;300 Tsd. €  
19;Guilherme;3,50 Mio. €  
20;Federico Valverde;6,00 Mio. €  
21;Celso Borges;4,00 Mio. €  
22;Pedro Mosquera;2,00 Mio. €  
23;Michael Krohn-Dehli;800 Tsd. €  
24;Edu Expósito;300 Tsd. €  
25;Sulley Muntari;300 Tsd. €  
26;Emre Colak;2,00 Mio. €  
27;Carles Gil;1,00 Mio. €  
28;Zakaria Bakkali;1,50 Mio. €  
29;Borja Valle;1,20 Mio. €  
30;Bruno Gama;800 Tsd. €  
31;Fede Cartabia;2,00 Mio. €  
32;Pinchi;300 Tsd. €  
33;Lucas Pérez;7,50 Mio. €  
34;Florin Andone;6,00 Mio. €  
35;Adrián López;4,00 Mio. €  
0;Leandro Chichizola;1,00 Mio. €  
1;Raúl Lizoain;800 Tsd. €  
2;Benito Del Valle;50 Tsd. €  
3;Mauricio Lemos;5,50 Mio. €  
4;Pedro Bigas;1,50 Mio. €  
5;Alejandro Gálvez;1,50 Mio. €  
6;Aythami Artiles;700 Tsd. €  
7;David García;100 Tsd. €  
8;Dani Castellano;2,00 Mio. €  
9;Borja Herrera;300 Tsd. €  
10;Matías Aguirregaray;2,00 Mio. €  
11;Ximo Navarro;2,00 Mio. €  
12;Míchel;1,80 Mio. €  
13;David Simón;800 Tsd. €  
14;Sergi Samper;2,50 Mio. €  
15;Vicente Gómez;2,50 Mio. €  
16;Javi Castellano;800 Tsd. €  
17;Oghenekaro Etebo;1,50 Mio. €  
18;Gabriel Peñalba;800 Tsd. €  
19;Hernán Santana;700 Tsd. €  
20;Alberto Aquilani;700 Tsd. €  
21;Fabio González;150 Tsd. €  
22;Jonathan Viera;8,00 Mio. €  
23;Alen Halilovic;2,50 Mio. €  
24;Tana;2,50 Mio. €  
25;Oussama Tannane;1,50 Mio. €  
26;Vitolo;25,00 Mio. €  
27;Jairo Samperio;1,50 Mio. €  
28;Hernán Toledo;1,00 Mio. €  
29;Nacho Gil;800 Tsd. €  
30;Benito Ramírez;300 Tsd. €  
31;Momo;100 Tsd. €  
32;Loïc Rémy;6,00 Mio. €  
33;Jonathan Calleri;6,00 Mio. €  
34;Sergio Araujo;4,00 Mio. €  
35;Emmanuel Emenike;1,00 Mio. €  
36;Imoh Ezekiel;1,00 Mio. €  
37;Erik Expósito;300 Tsd. €  
0;Roberto;2,00 Mio. €  
1;Andrés Prieto;400 Tsd. €  
2;Cenk Gönen;200 Tsd. €  
3;Luis Hernández;2,50 Mio. €  
4;Paul Baysse;2,50 Mio. €  
5;Diego González;2,00 Mio. €  
6;Ignasi Miquel;1,50 Mio. €  
7;Ian Soler;- 
8;Juankar;1,50 Mio. €  
9;Federico Ricca;1,50 Mio. €  
10;Alberto López;- 
11;Roberto Rosales;2,50 Mio. €  
12;Miguel Torres;800 Tsd. €  
13;Miguel Cifuentes;500 Tsd. €  
14;Iván Rodríguez;- 
15;Álex Robles; 
16;Manuel Iturra;1,00 Mio. €  
17;Esteban Rolón;800 Tsd. €  
18;Mehdi Lacen;800 Tsd. €  
19;Adrián González;3,00 Mio. €  
20;Recio;2,00 Mio. €  
21;Emanuel Cecchini;1,50 Mio. €  
22;Zdravko Kuzmanovic;600 Tsd. €  
23;José Carlos Sánchez; 
24;Juanpi Añor;1,50 Mio. €  
25;Juan Cruz; 
26;Javi Ontiveros;2,50 Mio. €  
27;Maxime Lestienne;2,50 Mio. €  
28;Isaac Success;2,00 Mio. €  
29;Jony;2,00 Mio. €  
30;Chory Castro;800 Tsd. €  
31;Álex Mula;500 Tsd. €  
32;Keko Gontán;2,00 Mio. €  
33;Samu García;1,00 Mio. €  
34;Alberto Bueno;1,50 Mio. €  
35;Diego Rolán;3,50 Mio. €  
36;Borja Bastón;2,00 Mio. €  
37;Brown Ideye;2,00 Mio. €  
38;Adalberto Peñaranda;2,00 Mio. €  
39;Youssef En-Nesyri;1,80 Mio. €  
0;Bono;3,00 Mio. €  
1;Gorka Iraizoz;200 Tsd. €  
2;Marcel Lizak; 
3;Bernardo Espinosa;7,00 Mio. €  
4;Juanpe;5,00 Mio. €  
5;Jonás Ramalho;4,00 Mio. €  
6;Marc Muniesa;2,50 Mio. €  
7;Pedro Alcalá;800 Tsd. €  
8;Bambo Diaby;300 Tsd. €  
9;Johan Mojica;4,00 Mio. €  
10;Aday;2,00 Mio. €  
11;Carles Planas;800 Tsd. €  
12;Pablo Maffeo;10,00 Mio. €  
13;Maximiliano Villa;250 Tsd. €  
14;Pedro Porro; 
15;Pere Pons;5,00 Mio. €  
16;David Timor;2,00 Mio. €  
17;Álex Granell;5,00 Mio. €  
18;Douglas Luiz;1,50 Mio. €  
19;Aleix García;1,00 Mio. €  
20;Borja García;3,50 Mio. €  
21;Eloi Amagat;200 Tsd. €  
22;Portu;10,00 Mio. €  
23;Marlos Moreno;500 Tsd. €  
24;Farid Boulaya;400 Tsd. €  
25;Cristhian Stuani;7,50 Mio. €  
26;Olarenwaju Kayode;3,00 Mio. €  
27;Choco Lozano;1,50 Mio. €  
28;Michael Olunga;500 Tsd. €  
29;Kévin Soni;300 Tsd. €  
0;Manuel Neuer;35,00 Mio. €  
1;Sven Ulreich;6,00 Mio. €  
2;Christian Früchtl;150 Tsd. €  
3;Leo Weinkauf;100 Tsd. €  
4;Tom Starke;100 Tsd. €  
5;Ron-Thorben Hoffmann; 
6;Mats Hummels;60,00 Mio. €  
7;David Alaba;50,00 Mio. €  
8;Jérôme Boateng;45,00 Mio. €  
9;Niklas Süle;38,00 Mio. €  
10;Marco Friedl;1,50 Mio. €  
11;Lars Lukas Mai;600 Tsd. €  
12;Felix Götze;200 Tsd. €  
13;Juan Bernat;12,00 Mio. €  
14;Jonathan Meier; 
15;Rafinha;3,50 Mio. €  
16;Joshua Kimmich;55,00 Mio. €  
17;Javi Martínez;40,00 Mio. €  
18;Sebastian Rudy;15,00 Mio. €  
19;Niklas Dorsch;400 Tsd. €  
20;Thiago;60,00 Mio. €  
21;Corentin Tolisso;40,00 Mio. €  
22;Arturo Vidal;35,00 Mio. €  
23;Renato Sanches;20,00 Mio. €  
24;James Rodríguez;70,00 Mio. €  
25;Fabian Benko;250 Tsd. €  
26;Timothy Tillman;100 Tsd. €  
27;Meritan Shabani; 
28;Kingsley Coman;50,00 Mio. €  
29;Franck Ribéry;4,00 Mio. €  
30;Franck Evina;100 Tsd. €  
31;Arjen Robben;7,00 Mio. €  
32;Milos Pantovic;150 Tsd. €  
33;Thomas Müller;60,00 Mio. €  
34;Robert Lewandowski;90,00 Mio. €  
35;Sandro Wagner;12,00 Mio. €  
36;Kwasi Okyere Wriedt;600 Tsd. €  
37;Manuel Wintzheimer;100 Tsd. €  
0;Roman Bürki;7,00 Mio. €  
1;Dominik Reimann;200 Tsd. €  
2;Roman Weidenfeller;- 
3;Manuel Akanji;22,00 Mio. €  
4;Sokratis;20,00 Mio. €  
5;Marc Bartra;17,50 Mio. €  
6;Ömer Toprak;12,00 Mio. €  
7;Neven Subotic;5,00 Mio. €  
8;Dan-Axel Zagadou;5,00 Mio. €  
9;Marcel Schmelzer;5,00 Mio. €  
10;Erik Durm;1,00 Mio. €  
11;Jan-Niklas Beste; 
12;Jeremy Toljan;5,00 Mio. €  
13;Lukasz Piszczek;4,00 Mio. €  
14;Felix Passlack;1,50 Mio. €  
15;Julian Weigl;30,00 Mio. €  
16;Nuri Sahin;4,50 Mio. €  
17;Mahmoud Dahoud;18,00 Mio. €  
18;Gonzalo Castro;8,00 Mio. €  
19;Sebastian Rode;3,00 Mio. €  
20;Raphaël Guerreiro;18,00 Mio. €  
21;Marco Reus;35,00 Mio. €  
22;Mario Götze;18,00 Mio. €  
23;Shinji Kagawa;13,00 Mio. €  
24;Sergio Gómez;2,00 Mio. €  
25;Christian Pulisic;45,00 Mio. €  
26;André Schürrle;15,00 Mio. €  
27;Jacob Bruun Larsen;500 Tsd. €  
28;Ousmane Dembélé;80,00 Mio. €  
29;Andriy Yarmolenko;23,00 Mio. €  
30;Jadon Sancho;15,00 Mio. €  
31;Maximilian Philipp;20,00 Mio. €  
32;Pierre-Emerick Aubameyang;75,00 Mio. €  
33;Michy Batshuayi;40,00 Mio. €  
34;Alexander Isak;6,00 Mio. €  
0;Péter Gulácsi;8,00 Mio. €  
1;Yvon Mvogo;3,00 Mio. €  
2;Fabio Coltorti;200 Tsd. €  
3;Philipp Köhn;100 Tsd. €  
4;Dayot Upamecano;30,00 Mio. €  
5;Willi Orban;15,00 Mio. €  
6;Lukas Klostermann;12,00 Mio. €  
7;Ibrahima Konaté;8,00 Mio. €  
8;Marvin Compper;1,00 Mio. €  
9;Marcel Halstenberg;8,00 Mio. €  
10;Bernardo;6,00 Mio. €  
11;Benno Schmitz;1,00 Mio. €  
12;Diego Demme;9,00 Mio. €  
13;Stefan Ilsanker;4,50 Mio. €  
14;Niclas Stierlin; 
15;Naby Keïta;65,00 Mio. €  
16;Kevin Kampl;18,00 Mio. €  
17;Konrad Laimer;8,00 Mio. €  
18;Dominik Kaiser;1,50 Mio. €  
19;Emil Forsberg;25,00 Mio. €  
20;Bruma;12,50 Mio. €  
21;Ademola Lookman;12,00 Mio. €  
22;Federico Palacios;500 Tsd. €  
23;Marcel Sabitzer;25,00 Mio. €  
24;Oliver Burke;10,00 Mio. €  
25;Timo Werner;60,00 Mio. €  
26;Jean-Kévin Augustin;20,00 Mio. €  
27;Yussuf Poulsen;10,00 Mio. €  
0;Bernd Leno;20,00 Mio. €  
1;Ramazan Özcan;500 Tsd. €  
2;Niklas Lomb;250 Tsd. €  
3;Jonathan Tah;30,00 Mio. €  
4;Panagiotis Retsos;18,00 Mio. €  
5;Sven Bender;15,00 Mio. €  
6;Aleksandar Dragovic;10,00 Mio. €  
7;Tin Jedvaj;5,00 Mio. €  
8;André Ramalho;4,50 Mio. €  
9;Wendell;18,00 Mio. €  
10;Lars Bender;13,00 Mio. €  
11;Benjamin Henrichs;12,00 Mio. €  
12;Julian Baumgartlinger;4,00 Mio. €  
13;Marlon Frey;300 Tsd. €  
14;Kevin Kampl;18,00 Mio. €  
15;Charles Aránguiz;10,00 Mio. €  
16;Dominik Kohr;5,00 Mio. €  
17;Julian Brandt;40,00 Mio. €  
18;Kai Havertz;28,00 Mio. €  
19;Vladlen Yurchenko;300 Tsd. €  
20;Leon Bailey;45,00 Mio. €  
21;Karim Bellarabi;12,00 Mio. €  
22;Admir Mehmedi;5,00 Mio. €  
23;Kevin Volland;22,00 Mio. €  
24;Lucas Alario;20,00 Mio. €  
25;Joel Pohjanpalo;1,50 Mio. €  
26;Stefan Kießling;- 
0;Oliver Baumann;10,00 Mio. €  
1;Gregor Kobel;500 Tsd. €  
2;Alexander Stolz;100 Tsd. €  
3;Kevin Vogt;12,00 Mio. €  
4;Benjamin Hübner;8,00 Mio. €  
5;Kevin Akpoguma;8,00 Mio. €  
6;Havard Nordtveit;4,00 Mio. €  
7;Stefan Posch;2,50 Mio. €  
8;Ermin Bicakcic;2,00 Mio. €  
9;Justin Hoogma;1,50 Mio. €  
10;Simon Lorenz;100 Tsd. €  
11;Nico Schulz;7,00 Mio. €  
12;Alexander Rossipal;125 Tsd. €  
13;Pavel Kaderabek;11,00 Mio. €  
14;Jeremy Toljan;5,00 Mio. €  
15;Felix Passlack;1,50 Mio. €  
16;Eugen Polanski;1,00 Mio. €  
17;Johannes Bühler;100 Tsd. €  
18;Kerem Demirbay;12,00 Mio. €  
19;Florian Grillitsch;10,00 Mio. €  
20;Dennis Geiger;5,00 Mio. €  
21;Lukas Rupp;4,50 Mio. €  
22;Steven Zuber;7,00 Mio. €  
23;Philipp Ochs;750 Tsd. €  
24;Nadiem Amiri;17,00 Mio. €  
25;Robert Zulj;1,00 Mio. €  
26;Maximilian Waack;100 Tsd. €  
27;Robin Hack;500 Tsd. €  
28;Serge Gnabry;20,00 Mio. €  
29;Nicolas Wähling;75 Tsd. €  
30;Mark Uth;18,00 Mio. €  
31;Andrej Kramaric;27,00 Mio. €  
32;Sandro Wagner;12,00 Mio. €  
33;Ádám Szalai;3,00 Mio. €  
34;Meris Skenderovic;200 Tsd. €  
35;David Otto;200 Tsd. €  
0;Rune Jarstein;2,50 Mio. €  
1;Thomas Kraft;1,00 Mio. €  
2;Jonathan Klinsmann;150 Tsd. €  
3;Dennis Smarsch;25 Tsd. €  
4;Niklas Stark;15,00 Mio. €  
5;Karim Rekik;10,00 Mio. €  
6;Jordan Torunarigha;4,00 Mio. €  
7;Sebastian Langkamp;2,50 Mio. €  
8;Fabian Lustenberger;2,50 Mio. €  
9;Florian Baak;400 Tsd. €  
10;Marvin Plattenhardt;15,00 Mio. €  
11;Maximilian Mittelstädt;2,00 Mio. €  
12;Mitchell Weiser;12,00 Mio. €  
13;Peter Pekarik;1,75 Mio. €  
14;Arne Maier;7,50 Mio. €  
15;Vladimir Darida;8,00 Mio. €  
16;Per Ciljan Skjelbred;4,00 Mio. €  
17;Sidney Friede;300 Tsd. €  
18;Valentino Lazaro;9,00 Mio. €  
19;Valentin Stocker;1,50 Mio. €  
20;Genki Haraguchi;3,50 Mio. €  
21;Ondrej Duda;3,00 Mio. €  
22;Julius Kade;400 Tsd. €  
23;Salomon Kalou;3,50 Mio. €  
24;Maurice Covic;150 Tsd. €  
25;Sinan Kurt;125 Tsd. €  
26;Mathew Leckie;4,00 Mio. €  
27;Alexander Esswein;2,00 Mio. €  
28;Palko Dárdai;600 Tsd. €  
29;Davie Selke;12,00 Mio. €  
30;Vedad Ibisevic;2,00 Mio. €  
31;Julian Schieber;1,00 Mio. €  
0;Yann Sommer;8,00 Mio. €  
1;Tobias Sippel;750 Tsd. €  
2;Moritz Nicolas;150 Tsd. €  
3;Christofer Heimeroth;- 
4;Matthias Ginter;25,00 Mio. €  
5;Nico Elvedi;17,00 Mio. €  
6;Jannik Vestergaard;14,00 Mio. €  
7;Tony Jantschke;3,50 Mio. €  
8;Mamadou Doucouré;500 Tsd. €  
9;Florian Mayer;75 Tsd. €  
10;Oscar Wendt;2,50 Mio. €  
11;Mandela Egbo;100 Tsd. €  
12;Justin Hoffmanns;75 Tsd. €  
13;Jordan Beyer; 
14;Denis Zakaria;20,00 Mio. €  
15;Christoph Kramer;12,00 Mio. €  
16;Reece Oxford;5,00 Mio. €  
17;Tobias Strobl;2,00 Mio. €  
18;Marcel Benger;125 Tsd. €  
19;Michaël Cuisance;7,50 Mio. €  
20;Lászlo Bénes;1,50 Mio. €  
21;Thorgan Hazard;22,00 Mio. €  
22;Vincenzo Grifo;7,50 Mio. €  
23;Fabian Johnson;4,50 Mio. €  
24;Kwame Yeboah;175 Tsd. €  
25;Patrick Herrmann;4,50 Mio. €  
26;Ibrahima Traoré;3,50 Mio. €  
27;Jonas Hofmann;3,00 Mio. €  
28;Aaron Herzog;100 Tsd. €  
29;Lars Stindl;18,00 Mio. €  
30;Raffael;4,00 Mio. €  
31;Ba-Muaka Simakala;200 Tsd. €  
32;Josip Drmic;3,50 Mio. €  
33;Raúl Bobadilla;1,75 Mio. €  
34;Julio Villalba;750 Tsd. €  
0;Lukas Hradecky;10,00 Mio. €  
1;Jan Zimmermann;250 Tsd. €  
2;Leon Bätge;100 Tsd. €  
3;Carlos Salcedo;7,00 Mio. €  
4;David Abraham;5,00 Mio. €  
5;Simon Falette;4,00 Mio. €  
6;Marco Russ;1,00 Mio. €  
7;Noel Knothe;100 Tsd. €  
8;Jetro Willems;7,00 Mio. €  
9;Taleb Tawatha;1,50 Mio. €  
10;Deji Beyreuther;150 Tsd. €  
11;Timothy Chandler;5,00 Mio. €  
12;Danny da Costa;3,50 Mio. €  
13;Omar Mascarell;8,00 Mio. €  
14;Gelson Fernandes;1,50 Mio. €  
15;Makoto Hasebe;1,00 Mio. €  
16;Slobodan Medojevic;500 Tsd. €  
17;Jonathan de Guzmán;2,50 Mio. €  
18;Marc Stendera;2,00 Mio. €  
19;Marijan Cavar;400 Tsd. €  
20;Max Besuschkow;250 Tsd. €  
21;Sahverdi Cetin;100 Tsd. €  
22;Nelson Mandela Mbouhom;100 Tsd. €  
23;Mijat Gacinovic;8,00 Mio. €  
24;Kevin-Prince Boateng;7,00 Mio. €  
25;Marco Fabián;4,50 Mio. €  
26;Aymen Barkok;2,00 Mio. €  
27;Daichi Kamada;1,00 Mio. €  
28;Ante Rebic;10,00 Mio. €  
29;Danny Blum;750 Tsd. €  
30;Marius Wolf;10,00 Mio. €  
31;Alexander Meier;750 Tsd. €  
32;Sébastien Haller;12,00 Mio. €  
33;Luka Jovic;8,00 Mio. €  
34;Branimir Hrgota;1,00 Mio. €  
35;Renat Dadashov;200 Tsd. €  
0;Koen Casteels;6,00 Mio. €  
1;Max Grün;250 Tsd. €  
2;Phillip Menzel;150 Tsd. €  
3;John Anthony Brooks;10,00 Mio. €  
4;Felix Uduokhai;8,00 Mio. €  
5;Marcel Tisserand;7,50 Mio. €  
6;Jeffrey Bruma;6,00 Mio. €  
7;Robin Knoche;3,50 Mio. €  
8;Riechedly Bazoer;3,00 Mio. €  
9;Paul Jaeckel;50 Tsd. €  
10;Luca Itter;2,00 Mio. €  
11;Dominik Franke;175 Tsd. €  
12;William;4,00 Mio. €  
13;Paul Verhaegh;1,00 Mio. €  
14;Sebastian Jung;500 Tsd. €  
15;Ignacio Camacho;10,00 Mio. €  
16;Josuha Guilavogui;7,00 Mio. €  
17;Maximilian Arnold;10,00 Mio. €  
18;Yannick Gerhardt;5,00 Mio. €  
19;Elvis Rexhbecaj;200 Tsd. €  
20;Yunus Malli;9,00 Mio. €  
21;Daniel Didavi;7,00 Mio. €  
22;Justin Möbius;200 Tsd. €  
23;Josip Brekalo;5,50 Mio. €  
24;Paul-Georges Ntep;4,00 Mio. €  
25;Renato Steffen;3,50 Mio. €  
26;Jakub Blaszczykowski;1,00 Mio. €  
27;Admir Mehmedi;5,00 Mio. €  
28;Kaylen Hinds;1,00 Mio. €  
29;Divock Origi;10,00 Mio. €  
30;Mario Gómez;6,00 Mio. €  
31;Landry Dimata;6,00 Mio. €  
32;Victor Osimhen;1,00 Mio. €  
0;Ralf Fährmann;13,00 Mio. €  
1;Alexander Nübel;500 Tsd. €  
2;Michael Langer;200 Tsd. €  
3;Thilo Kehrer;18,00 Mio. €  
4;Matija Nastasic;17,00 Mio. €  
5;Benedikt Höwedes;9,00 Mio. €  
6;Benjamin Stambouli;9,00 Mio. €  
7;Pablo Insua;2,50 Mio. €  
8;Naldo;1,50 Mio. €  
9;Abdul Rahman Baba;8,00 Mio. €  
10;Bastian Oczipka;7,00 Mio. €  
11;Coke;2,00 Mio. €  
12;Sascha Riether;500 Tsd. €  
13;Johannes Geis;5,00 Mio. €  
14;Leon Goretzka;40,00 Mio. €  
15;Nabil Bentaleb;18,00 Mio. €  
16;Weston McKennie;6,50 Mio. €  
17;Daniel Caligiuri;7,50 Mio. €  
18;Alessandro Schöpf;5,00 Mio. €  
19;Amine Harit;25,00 Mio. €  
20;Max Meyer;18,00 Mio. €  
21;Marko Pjaca;15,00 Mio. €  
22;Yevgen Konoplyanka;10,00 Mio. €  
23;Bernard Tekpetey;400 Tsd. €  
24;Breel Embolo;18,00 Mio. €  
25;Guido Burgstaller;13,00 Mio. €  
26;Franco Di Santo;2,50 Mio. €  
27;Cedric Teuchert;1,50 Mio. €  
28;Fabian Reese;750 Tsd. €  
0;Jiri Pavlenka;10,00 Mio. €  
1;Michael Zetterer;250 Tsd. €  
2;Jaroslav Drobny;100 Tsd. €  
3;Luca Plogmann;100 Tsd. €  
4;Milos Veljkovic;6,50 Mio. €  
5;Sebastian Langkamp;2,50 Mio. €  
6;Niklas Moisander;2,50 Mio. €  
7;Lamine Sané;2,00 Mio. €  
8;Marco Friedl;1,50 Mio. €  
9;Luca Caldirola;1,00 Mio. €  
10;Jesper Verlaat;350 Tsd. €  
11;Ludwig Augustinsson;7,50 Mio. €  
12;Robert Bauer;2,50 Mio. €  
13;Ulisses Garcia;400 Tsd. €  
14;Theodor Gebre Selassie;2,50 Mio. €  
15;Philipp Bargfrede;2,00 Mio. €  
16;Ole Käuper;450 Tsd. €  
17;Thore Jacobsen;400 Tsd. €  
18;Thomas Delaney;12,00 Mio. €  
19;Maximilian Eggestein;10,00 Mio. €  
20;Zlatko Junuzovic;5,00 Mio. €  
21;Jérôme Gondorf;1,50 Mio. €  
22;Niklas Schmidt;250 Tsd. €  
23;Milot Rashica;7,00 Mio. €  
24;Florian Kainz;4,00 Mio. €  
