name,age,height,citizenship,position,foot,current club,18/19 games,18/19 goals,18/19 assists,18/19 minutes,19/20 games,19/20 goals,19/20 assists,19/20 minutes,20/21 games,20/21 goals,20/21 assists,20/21 minutes,current league
Simon Asta,19,178.0,Germany,Defender - Right-Back,right,SpVgg Greuther Fürth,25.0,1.0,2154.0,0.0,11.0,1.0,976.0,0.0,3.0,0.0,270.0,0.0,Bundesliga
Rani Khedira,26,188.0,Germany  Tunisia,Midfielder - Defensive Midfield,right,FC Augsburg,34.0,4.0,3022.0,0.0,33.0,0.0,2680.0,0.0,9.0,0.0,647.0,0.0,Bundesliga
Reece Oxford,21,190.0,England  Jamaica,Midfielder - Defensive Midfield,right,FC Augsburg,24.0,3.0,1913.0,0.0,12.0,0.0,367.0,0.0,4.0,0.0,46.0,0.0,Bundesliga
Carlos Gruezo,25,171.0,Ecuador,Midfielder - Defensive Midfield,right,FC Augsburg,9.0,1.0,784.0,0.0,12.0,0.0,978.0,0.0,10.0,0.0,714.0,0.0,Bundesliga
Felix Götze,22,185.0,Germany,Midfielder - Defensive Midfield,right,FC Augsburg,9.0,1.0,202.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,267.0,0.0,Bundesliga
Daniel Baier,36,176.0,Germany,Midfielder - Defensive Midfield,right,Retired,36.0,0.0,3089.0,0.0,24.0,1.0,2036.0,0.0,,,,,Bundesliga
Tim Rieder,27,186.0,Germany,Midfielder - Defensive Midfield,right,1.FC Kaiserslautern,17.0,0.0,1017.0,0.0,27.0,3.0,2292.0,0.0,16.0,0.0,1418.0,0.0,Bundesliga
Stefano Russo,20,184.0,Germany  Italy,Midfielder - Defensive Midfield,right,Without Club,24.0,2.0,2116.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,887.0,0.0,Bundesliga
Eduard Löwen,23,188.0,Germany  Russia,Midfielder - Central Midfield,right,Hertha BSC,23.0,3.0,1669.0,0.0,24.0,2.0,1065.0,0.0,4.0,0.0,29.0,0.0,Bundesliga
Jan Morávek,31,180.0,Czech Republic,Midfielder - Central Midfield,right,FC Augsburg,14.0,0.0,834.0,0.0,11.0,0.0,467.0,0.0,,,,,Bundesliga
Fredrik Jensen,23,183.0,Finland,Midfielder - Attacking Midfield,right,FC Augsburg,9.0,0.0,294.0,0.0,11.0,1.0,477.0,0.0,6.0,2.0,193.0,0.0,Bundesliga
Ruben Vargas,22,174.0,Switzerland  Dominican Republic,Forward - Left Winger,right,FC Augsburg,38.0,10.0,2606.0,0.0,33.0,6.0,2538.0,0.0,10.0,4.0,651.0,0.0,Bundesliga
Marco Richter,23,176.0,Germany,Forward - Right Winger,right,FC Augsburg,29.0,5.0,1731.0,0.0,32.0,4.0,2374.0,0.0,7.0,1.0,208.0,0.0,Bundesliga
André Hahn,30,185.0,Germany,Forward - Right Winger,right,FC Augsburg,32.0,5.0,2381.0,0.0,16.0,2.0,788.0,0.0,10.0,4.0,569.0,0.0,Bundesliga
Noah Sarenren Bazee,24,183.0,Nigeria  Germany,Forward - Right Winger,right,FC Augsburg,6.0,1.0,402.0,0.0,10.0,1.0,378.0,0.0,3.0,0.0,134.0,0.0,Bundesliga
Michael Gregoritsch,26,193.0,Austria,Forward - Second Striker,left,FC Augsburg,36.0,8.0,2912.0,0.0,23.0,1.0,1324.0,0.0,11.0,1.0,621.0,0.0,Bundesliga
Maurice Malone,20,184.0,Germany  United States,Forward - Second Striker,left,SV Wehen Wiesbaden,30.0,18.0,2498.0,0.0,0.0,0.0,0.0,0.0,31.0,15.0,2460.0,0.0,Bundesliga
Florian Niederlechner,30,187.0,Germany,Forward - Centre-Forward,left,FC Augsburg,26.0,4.0,1129.0,0.0,34.0,13.0,2820.0,0.0,10.0,1.0,662.0,0.0,Bundesliga
Alfred Finnbogason,31,184.0,Iceland,Forward - Centre-Forward,right,FC Augsburg,20.0,11.0,1431.0,0.0,21.0,3.0,964.0,0.0,7.0,1.0,229.0,0.0,Bundesliga
Sergio Córdova,23,188.0,Venezuela,Forward - Centre-Forward,right,Arminia Bielefeld,22.0,3.0,620.0,0.0,16.0,2.0,360.0,0.0,8.0,0.0,385.0,0.0,Bundesliga
Julian Schieber,31,186.0,Germany,Forward - Centre-Forward,left,FC Augsburg,9.0,1.0,255.0,0.0,3.0,0.0,44.0,0.0,,,,,Bundesliga
"Seong-hoon Cheon,20,190.0,""Korea, South"",Forward - Centre-Forward,,FC Augsburg II,11.0,0.0,894.0,0.0,,,,,14.0,4.0,561.0,0.0,Bundesliga"
Alexander Schwolow,28,190.0,Germany,Goalkeeper,right,Hertha BSC,35.0,0.0,3180.0,0.0,25.0,0.0,2212.0,0.0,11.0,0.0,990.0,0.0,Bundesliga
Mark Flekken,27,194.0,Netherlands,Goalkeeper,both,SC Freiburg,1.0,0.0,90.0,0.0,11.0,0.0,990.0,0.0,,,,,Bundesliga
Niclas Thiede,21,186.0,Germany,Goalkeeper,both,SC Freiburg,19.0,0.0,1710.0,0.0,8.0,0.0,698.0,0.0,5.0,0.0,450.0,0.0,Bundesliga
Robin Koch,24,191.0,Germany,Defender - Centre-Back,right,Leeds United,25.0,1.0,1987.0,0.0,34.0,2.0,2807.0,0.0,11.0,0.0,909.0,0.0,Bundesliga
Philipp Lienhart,24,189.0,Austria,Defender - Centre-Back,right,SC Freiburg,16.0,0.0,709.0,0.0,24.0,0.0,1946.0,0.0,11.0,2.0,990.0,0.0,Bundesliga
Dominique Heintz,27,188.0,Germany,Defender - Centre-Back,left,SC Freiburg,36.0,1.0,3264.0,0.0,30.0,0.0,2644.0,0.0,10.0,0.0,817.0,0.0,Bundesliga
Nico Schlotterbeck,21,191.0,Germany,Defender - Centre-Back,left,1.FC Union Berlin,27.0,2.0,2226.0,0.0,15.0,0.0,576.0,0.0,3.0,2.0,300.0,0.0,Bundesliga
Manuel Gulde,29,184.0,Germany,Defender - Centre-Back,right,SC Freiburg,22.0,1.0,1798.0,0.0,18.0,1.0,1417.0,0.0,6.0,0.0,315.0,0.0,Bundesliga
Christian Günter,27,185.0,Germany,Defender - Left-Back,left,SC Freiburg,34.0,0.0,3090.0,0.0,36.0,2.0,3241.0,0.0,11.0,0.0,990.0,0.0,Bundesliga
Luca Itter,21,183.0,Germany,Defender - Left-Back,left,SC Freiburg,18.0,0.0,1509.0,0.0,11.0,0.0,729.0,0.0,2.0,0.0,157.0,0.0,Bundesliga
Jonathan Schmid,30,180.0,France,Defender - Right-Back,right,SC Freiburg,29.0,3.0,2640.0,0.0,35.0,5.0,3050.0,0.0,11.0,1.0,904.0,0.0,Bundesliga
Lukas Kübler,28,181.0,Germany,Defender - Right-Back,right,SC Freiburg,16.0,0.0,1186.0,0.0,7.0,1.0,390.0,0.0,5.0,0.0,149.0,0.0,Bundesliga
Nicolas Höfler,30,181.0,Germany,Midfielder - Defensive Midfield,right,SC Freiburg,21.0,0.0,1916.0,0.0,33.0,1.0,2905.0,0.0,11.0,0.0,929.0,0.0,Bundesliga
Amir Abrashi,30,172.0,Albania  Switzerland,Midfielder - Defensive Midfield,right,SC Freiburg,10.0,0.0,790.0,0.0,14.0,0.0,752.0,0.0,1.0,0.0,1.0,0.0,Bundesliga
Yannik Keitel,20,186.0,Germany,Midfielder - Defensive Midfield,both,SC Freiburg,16.0,1.0,930.0,0.0,20.0,2.0,1326.0,0.0,4.0,1.0,306.0,0.0,Bundesliga
