;Players;Values
18;Edoardo Bianchi;75 Tsd. €  
19;Cristian Ansaldi;5,00 Mio. €  
20;Federico Giraudo;150 Tsd. €  
21;Matteo Procopio;100 Tsd. €  
22;Andrea Sana;50 Tsd. €  
23;Sulaiman Oyewale;50 Tsd. €  
24;Emanuele Valerio;- 
25;Ola Aina;10,00 Mio. €  
26;Lorenzo De Silvestri;4,00 Mio. €  
27;Alessandro Fiordaliso;200 Tsd. €  
28;Wilfried Singo;125 Tsd. €  
29;Lorenzo Carissoni;100 Tsd. €  
30;Filippo Gilli;100 Tsd. €  
31;Tomás Rincón;8,00 Mio. €  
32;Mirko Valdifiori;500 Tsd. €  
33;Soualiho Meïté;13,00 Mio. €  
34;Daniele Baselli;10,00 Mio. €  
35;Roberto Soriano;7,00 Mio. €  
36;Sasa Lukic;4,00 Mio. €  
37;Samuel Gustafson;1,00 Mio. €  
38;Jacopo Segre;500 Tsd. €  
39;Michel Ndary Adopo;150 Tsd. €  
40;Gianluca Piccoli;100 Tsd. €  
41;Shady Oukhadda;100 Tsd. €  
42;Matteo Rossetti;100 Tsd. €  
43;Nathan Buaka;- 
44;Adem Ljajic;12,00 Mio. €  
45;Álex Berenguer;6,00 Mio. €  
46;Vincenzo Millico;1,00 Mio. €  
47;Ben Lhassine Kone;200 Tsd. €  
48;Iago Falque;17,50 Mio. €  
49;Vittorio Parigini;2,00 Mio. €  
50;Simone Edera;1,00 Mio. €  
51;Mattia Aramu;350 Tsd. €  
52;Filippo Berardi;125 Tsd. €  
53;Andrea Belotti;35,00 Mio. €  
54;M'Baye Niang;12,00 Mio. €  
55;Simone Zaza;10,00 Mio. €  
56;Lucas Boyé;1,50 Mio. €  
57;Vitalie Damascan;1,00 Mio. €  
58;Leonardo Candellone;400 Tsd. €  
59;Nicola Rauti;400 Tsd. €  
60;Manuel De Luca;250 Tsd. €  
61;Karlo Butic;200 Tsd. €  
0;Alessio Cragno;20,00 Mio. €  
1;Rafael;200 Tsd. €  
2;Riccardo Daga;200 Tsd. €  
3;Simone Aresti;200 Tsd. €  
4;Filippo Romagna;6,00 Mio. €  
5;Sebastian Walukiewicz;4,00 Mio. €  
6;Luca Ceppitelli;2,50 Mio. €  
7;Ragnar Klavan;1,50 Mio. €  
8;Fabio Pisacane;700 Tsd. €  
9;Marco Andreolli;500 Tsd. €  
10;Maxime Leverbe;100 Tsd. €  
11;Charalampos Lykogiannis;1,50 Mio. €  
12;Matteo Cotali;150 Tsd. €  
13;Paolo Faragò;5,00 Mio. €  
14;Fabrizio Cacciatore;800 Tsd. €  
15;Darijo Srna;800 Tsd. €  
16;Simone Pinna;175 Tsd. €  
17;Christian Oliva;5,00 Mio. €  
18;Filip Bradaric;4,50 Mio. €  
19;Santiago Colombatto;1,40 Mio. €  
20;Luca Cigarini;800 Tsd. €  
21;Riccardo Ladinetti;150 Tsd. €  
22;Alessandro Marongiu;50 Tsd. €  
23;Nicolò Barella;36,00 Mio. €  
24;Lucas Castro;6,00 Mio. €  
25;Artur Ionita;4,50 Mio. €  
26;Alessandro Deiola;1,20 Mio. €  
27;Fabrizio Caligara;500 Tsd. €  
28;Daniele Dessena;500 Tsd. €  
29;Roberto Biancu;200 Tsd. €  
30;Nunzio Lella;100 Tsd. €  
31;Luca Pellegrini;5,00 Mio. €  
32;Marko Pajac;1,50 Mio. €  
33;Simone Padoin;500 Tsd. €  
34;João Pedro;8,00 Mio. €  
35;Valter Birsa;2,00 Mio. €  
36;Riccardo Doratiotto;250 Tsd. €  
37;Kiril Despodov;3,00 Mio. €  
38;Diego Farias;4,50 Mio. €  
39;Cyril Théréau;500 Tsd. €  
40;Daniele Ragatzu;400 Tsd. €  
41;Leonardo Pavoletti;12,00 Mio. €  
42;Alberto Cerri;6,00 Mio. €  
43;Kwang-song Han;4,00 Mio. €  
44;Niccolò Giannetti;800 Tsd. €  
45;Alessandro Capello;600 Tsd. €  
46;Damir Ceter;600 Tsd. €  
47;Marco Sau;400 Tsd. €  
48;Francesco Verde;100 Tsd. €  
0;Ionuț Radu;15,00 Mio. €  
1;Jandrei;2,00 Mio. €  
2;Lukas Zima;400 Tsd. €  
3;Federico Marchetti;300 Tsd. €  
4;Rok Vodisek;300 Tsd. €  
5;Marco Albertoni;175 Tsd. €  
6;Alessio Rollandi;50 Tsd. €  
7;Alessandro Russo; 
8;Cristian Romero;15,00 Mio. €  
9;Davide Biraschi;4,50 Mio. €  
10;Lisandro López;2,50 Mio. €  
11;Ervin Zukanovic;1,50 Mio. €  
12;Koray Günter;1,00 Mio. €  
13;Jawad El Yamiq;800 Tsd. €  
14;Luca Rossettini;500 Tsd. €  
15;Marcos Curado;500 Tsd. €  
16;Nicolás Spolli;250 Tsd. €  
17;Luigi Carillo;100 Tsd. €  
18;Marco Soprano;100 Tsd. €  
19;Giorgio Altare;75 Tsd. €  
20;Fallou Njie;50 Tsd. €  
21;Gianni Palmese;25 Tsd. €  
22;Domenico Criscito;4,00 Mio. €  
23;Giuseppe Pezzella;3,00 Mio. €  
24;Antonio Candela;500 Tsd. €  
25;Ivan Lakicevic;500 Tsd. €  
26;Federico Valietti;400 Tsd. €  
27;Mario Ierardi;150 Tsd. €  
28;Massimo Tazzer;100 Tsd. €  
29;Ivan Radovanovic;3,00 Mio. €  
30;Sandro;2,00 Mio. €  
31;Esteban Rolón;1,00 Mio. €  
32;Miguel Veloso;1,00 Mio. €  
33;Lorenzo Callegari;300 Tsd. €  
34;Davide Sibilia;100 Tsd. €  
35;Nicolò Rovella; 
36;Stefano Sturaro;10,00 Mio. €  
37;Lukas Lerager;6,00 Mio. €  
38;Daniel Bessa;4,50 Mio. €  
39;Luca Mazzitelli;3,50 Mio. €  
40;Oscar Hiljemark;3,00 Mio. €  
41;Rômulo;2,50 Mio. €  
42;Stephane Omeonga;1,80 Mio. €  
43;Filip Jagiello;1,50 Mio. €  
44;Mattia Zennaro;1,50 Mio. €  
45;Petar Brlek;1,25 Mio. €  
46;Alessandro Quaini;150 Tsd. €  
47;Michele Bruzzo;100 Tsd. €  
48;Mariano Bernardini;75 Tsd. €  
49;Pedro Pereira;2,00 Mio. €  
50;Paolo Ghiglione;1,00 Mio. €  
51;Darko Lazovic;3,00 Mio. €  
52;Nicola Dalmonte;1,00 Mio. €  
53;András Schäfer;400 Tsd. €  
54;Iuri Medeiros;4,50 Mio. €  
55;Thomas Rodríguez;750 Tsd. €  
56;Luca Zanimacchia;275 Tsd. €  
57;Michele Emmausso;75 Tsd. €  
58;Goran Pandev;400 Tsd. €  
59;Kevin Piscopo;225 Tsd. €  
60;Krzysztof Piatek;40,00 Mio. €  
61;Christian Kouamé;15,00 Mio. €  
62;Antonio Sanabria;9,00 Mio. €  
63;Andrea Favilli;6,00 Mio. €  
64;Gianluca Lapadula;5,00 Mio. €  
65;Claudio Spinelli;3,00 Mio. €  
66;Eddie Salcedo;2,00 Mio. €  
67;Raúl Asencio;800 Tsd. €  
68;Franco Ferrari;250 Tsd. €  
0;Emil Audero;15,00 Mio. €  
1;Vid Belec;800 Tsd. €  
2;Rafael;500 Tsd. €  
3;Wladimiro Falcone;175 Tsd. €  
4;Andrea Tozzo;150 Tsd. €  
5;Titas Krapikas;150 Tsd. €  
6;Giacomo Piccardo;75 Tsd. €  
7;Joachim Andersen;25,00 Mio. €  
8;Omar Colley;8,00 Mio. €  
9;Lorenzo Tonelli;7,00 Mio. €  
10;Alex Ferrari;1,50 Mio. €  
11;Lorenco Simic;1,00 Mio. €  
12;Álex Pastor;150 Tsd. €  
13;Erasmo Mulè;125 Tsd. €  
14;Tommaso Farabegoli;125 Tsd. €  
15;Maxime Leverbe;100 Tsd. €  
16;Filippo Oliana;75 Tsd. €  
17;Nicola Murru;7,00 Mio. €  
18;Vasco Regini;1,40 Mio. €  
19;Júnior Tavares;1,00 Mio. €  
20;Bartosz Bereszynski;10,00 Mio. €  
21;Jacopo Sala;1,60 Mio. €  
22;Gabriele Rolando;400 Tsd. €  
23;Michal Tomic;225 Tsd. €  
24;Cristian Hadžiosmanović;150 Tsd. €  
25;Carlo Romei;25 Tsd. €  
26;Albin Ekdal;5,00 Mio. €  
27;Leonardo Capezzi;800 Tsd. €  
28;Alessandro Gabbani;25 Tsd. €  
29;Dennis Praet;24,00 Mio. €  
30;Karol Linetty;15,00 Mio. €  
31;Jakub Jankto;12,00 Mio. €  
32;Ronaldo Vieira;5,00 Mio. €  
33;Valerio Verre;3,50 Mio. €  
34;Édgar Barreto;1,00 Mio. €  
35;Antonio Palumbo;450 Tsd. €  
36;David Ivan;250 Tsd. €  
37;Denis Baumgartner;250 Tsd. €  
38;Roberto Criscuolo;75 Tsd. €  
39;Simone Trimboli; 
40;Gastón Ramírez;10,00 Mio. €  
41;Riccardo Saponara;8,50 Mio. €  
42;Mohamed Bahlouli;100 Tsd. €  
43;João Ricciulli;75 Tsd. €  
44;Jamie Yayi Mpie; 
45;Federico Furlan;450 Tsd. €  
46;Gianluca Caprari;10,00 Mio. €  
47;Manolo Gabbiadini;12,00 Mio. €  
48;Grégoire Defrel;12,00 Mio. €  
49;Dawid Kownacki;9,00 Mio. €  
50;Fabio Quagliarella;2,50 Mio. €  
51;Federico Bonazzoli;1,50 Mio. €  
52;Giacomo Vrioni;500 Tsd. €  
53;Marco Sau;400 Tsd. €  
54;Abou Diop;250 Tsd. €  
55;Ibourahima Baldé;150 Tsd. €  
56;Antonio Di Nardo;125 Tsd. €  
57;Ognjen Stijepovic;100 Tsd. €  
58;Domenico Cuomo;25 Tsd. €  
0;Andrea Consigli;4,00 Mio. €  
1;Giacomo Satalino;150 Tsd. €  
2;Gianluca Pegolo;150 Tsd. €  
3;Merih Demiral;15,00 Mio. €  
4;Gian Marco Ferrari;14,00 Mio. €  
5;Marlon;10,00 Mio. €  
6;Giangiacomo Magnani;5,00 Mio. €  
7;Mauricio Lemos;3,50 Mio. €  
8;Timo Letschert;2,50 Mio. €  
9;Edoardo Goldaniga;2,00 Mio. €  
10;Riccardo Marchizza;800 Tsd. €  
11;Luca Ravanelli;200 Tsd. €  
12;Leonardo Fontanesi;150 Tsd. €  
13;Martin Erlic;150 Tsd. €  
14;Stefano Ferraresi;25 Tsd. €  
15;Rogério;10,00 Mio. €  
16;Cristian Dell'Orco;1,00 Mio. €  
17;Alessandro Tripaldelli;500 Tsd. €  
18;Federico Peluso;500 Tsd. €  
19;Raffaele Celia;125 Tsd. €  
20;Andrea Masetti;100 Tsd. €  
21;Pol Lirola;13,00 Mio. €  
22;Claud Adjapong;3,50 Mio. €  
23;Manuel Locatelli;12,00 Mio. €  
24;Simone Missiroli;2,00 Mio. €  
25;Francesco Magnanelli;800 Tsd. €  
26;Andrea Ghion;100 Tsd. €  
27;Stefano Sensi;18,00 Mio. €  
28;Alfred Duncan;17,00 Mio. €  
29;Mehdi Bourabia;4,00 Mio. €  
30;Luca Mazzitelli;3,50 Mio. €  
31;Francesco Cassata;3,50 Mio. €  
32;Davide Frattesi;2,50 Mio. €  
33;Filippo Bandinelli;1,20 Mio. €  
34;Jérémie Broh;700 Tsd. €  
35;Marco Pinato;600 Tsd. €  
36;Giovanni Sbrissa;325 Tsd. €  
37;Marius Marin;200 Tsd. €  
38;Leonardo Sernicola;200 Tsd. €  
39;Kevin-Prince Boateng;7,00 Mio. €  
40;Filip Djuricic;1,50 Mio. €  
41;Jérémie Boga;6,00 Mio. €  
42;Federico Di Francesco;4,50 Mio. €  
43;Antonino Ragusa;1,00 Mio. €  
44;Nicholas Pierini;800 Tsd. €  
45;Andrea Cisco;150 Tsd. €  
46;Giacomo Zecca;100 Tsd. €  
47;Matteo Politano;30,00 Mio. €  
48;Domenico Berardi;20,00 Mio. €  
49;Federico Ricci;1,70 Mio. €  
50;Enrico Brignola;3,50 Mio. €  
51;Khouma Babacar;8,00 Mio. €  
52;Jens Odgaard;1,80 Mio. €  
53;Marcello Trotta;1,00 Mio. €  
54;Gianluca Scamacca;700 Tsd. €  
55;Giacomo Raspadori;500 Tsd. €  
56;Ettore Gliozzi;400 Tsd. €  
57;Alessandro Matri;300 Tsd. €  
58;Pietro Cianci;125 Tsd. €  
0;Alex Meret;25,00 Mio. €  
1;Juan Musso;10,00 Mio. €  
2;Simone Scuffet;1,75 Mio. €  
3;Orestis Karnezis;1,50 Mio. €  
4;Nícolas;700 Tsd. €  
5;Samuele Perisan;150 Tsd. €  
6;Manuel Gasparini; 
7;Semuel Pizzignacco; 
8;Samir;6,00 Mio. €  
9;William Troost-Ekong;4,00 Mio. €  
10;Bram Nuytinck;3,50 Mio. €  
11;Ben Wilmot;1,50 Mio. €  
12;Molla Wagué;1,00 Mio. €  
13;Nicholas Opoku;1,00 Mio. €  
14;Gabriele Angella;1,00 Mio. €  
15;Sebastien De Maio;1,00 Mio. €  
16;Danilo;800 Tsd. €  
17;Mauro Coppolaro;700 Tsd. €  
18;Pawel Bochniewicz;500 Tsd. €  
19;Francisco Sierralta;400 Tsd. €  
20;Filip Vasko;100 Tsd. €  
21;Giuseppe Pezzella;3,00 Mio. €  
22;Marvin Zeegelaar;2,50 Mio. €  
23;Ali Adnan;1,60 Mio. €  
24;Jens Stryger Larsen;4,00 Mio. €  
25;Hidde ter Avest;2,00 Mio. €  
26;Rolando Mandragora;15,00 Mio. €  
27;Sandro;2,00 Mio. €  
28;Valon Behrami;1,00 Mio. €  
29;Simone Pontisso;200 Tsd. €  
30;Rodrigo de Paul;25,00 Mio. €  
31;Seko Fofana;13,00 Mio. €  
32;Jakub Jankto;12,00 Mio. €  
33;Mamadou Coulibaly;2,00 Mio. €  
34;Andrija Balic;2,00 Mio. €  
35;Emmanuel Badu;1,50 Mio. €  
36;Panagiotis Kone;1,00 Mio. €  
37;Emil Hallfreðsson;500 Tsd. €  
38;Gaspar Iñíguez;150 Tsd. €  
39;Thomas Battistella; 
40;Marco D'Alessandro;2,00 Mio. €  
41;Svante Ingelsson;900 Tsd. €  
42;Antonin Barak;12,00 Mio. €  
43;Darwin Machís;3,00 Mio. €  
44;Ignacio Pussetto;10,00 Mio. €  
45;Aly Malle;400 Tsd. €  
46;Ryder Matos;1,50 Mio. €  
47;Kevin Lasagna;7,50 Mio. €  
48;Stefano Okaka;5,00 Mio. €  
49;Riad Bajić;3,00 Mio. €  
50;Lukasz Teodorczyk;3,00 Mio. €  
51;Felipe Vizeu;1,50 Mio. €  
52;Stipe Perica;1,00 Mio. €  
53;Petar Micin;1,00 Mio. €  
54;Emanuele Rovini;250 Tsd. €  
55;Miloš Bočić;100 Tsd. €  
0;Luigi Sepe;5,00 Mio. €  
1;Gabriel Brazão;2,00 Mio. €  
2;Pierluigi Frattali;300 Tsd. €  
3;Michele Nardi;250 Tsd. €  
4;Andrea Dini;200 Tsd. €  
5;Fabrizio Bagheria;25 Tsd. €  
6;Alessandro Bastoni;15,00 Mio. €  
7;Simone Iacoponi;1,00 Mio. €  
8;Bruno Alves;1,00 Mio. €  
9;Francisco Sierralta;400 Tsd. €  
10;Alessandro Minelli;225 Tsd. €  
11;Stefano Scognamillo;150 Tsd. €  
12;Cristian Cauz;125 Tsd. €  
13;Lorenzo Saporetti;100 Tsd. €  
14;Valerio Di Cesare;100 Tsd. €  
15;Riccardo Santovito;50 Tsd. €  
16;Emmanuele Matino;50 Tsd. €  
17;Andrea Di Maggio;50 Tsd. €  
18;Federico Dimarco;5,00 Mio. €  
19;Riccardo Gagliolo;3,00 Mio. €  
20;Massimo Gobbi;300 Tsd. €  
21;Juan Ramos;250 Tsd. €  
22;Giacomo Ricci;125 Tsd. €  
23;Giovanni Pinto;100 Tsd. €  
24;Marcello Gazzola;300 Tsd. €  
25;Lorenzo Adorni;75 Tsd. €  
26;Yves Kouadio;75 Tsd. €  
27;Leo Stulac;2,30 Mio. €  
28;Matteo Scozzarella;800 Tsd. €  
29;Antonio Junior Vacca;375 Tsd. €  
30;Alberto Grassi;7,00 Mio. €  
31;Juraj Kucka;5,00 Mio. €  
32;José Machín;1,60 Mio. €  
33;Alessandro Deiola;1,20 Mio. €  
34;Antonino Barillà;1,00 Mio. €  
35;Jacopo Dezi;1,00 Mio. €  
36;Manuel Scavone;600 Tsd. €  
37;Luca Rigoni;500 Tsd. €  
38;Abdou Diakhate;400 Tsd. €  
39;Luigi Scaglia;300 Tsd. €  
40;Marco Frediani;200 Tsd. €  
41;Lorenzo Simonetti;200 Tsd. €  
42;Giuseppe Carriero;200 Tsd. €  
43;Francesco Giorno;100 Tsd. €  
44;Gianni Munari;100 Tsd. €  
45;Vincenzo Mustacciolo;75 Tsd. €  
46;Redi Kasa; 
47;Drissa Camara; 
48;Gervinho;9,00 Mio. €  
49;Alessio Da Cruz;1,50 Mio. €  
50;Antonio Di Gaudio;1,40 Mio. €  
51;Nicolás Schiappacasse;1,00 Mio. €  
52;Francesco Golfo;275 Tsd. €  
53;Sebastiano Longo;100 Tsd. €  
54;Amato Ciciretti;1,50 Mio. €  
55;Jonathan Biabiany;1,50 Mio. €  
56;Mattia Sprocati;1,50 Mio. €  
57;Luca Siligardi;800 Tsd. €  
58;Yves Baraye;700 Tsd. €  
59;Cristian Galano;400 Tsd. €  
60;Davide Mastaj;50 Tsd. €  
61;Federico Pelle;25 Tsd. €  
62;Roberto Inglese;15,00 Mio. €  
63;Fabio Ceravolo;1,50 Mio. €  
64;Manuel Nocciolini;400 Tsd. €  
65;Francesco Galuppini;250 Tsd. €  
66;Matteo Luigi Brunori;250 Tsd. €  
67;Emanuele Calaiò;200 Tsd. €  
68;Facundo Lescano;175 Tsd. €  
69;Carl Davordzie;25 Tsd. €  
0;Lukasz Skorupski;7,00 Mio. €  
1;Angelo da Costa;200 Tsd. €  
2;Mouhamadou Sarr;100 Tsd. €  
3;Antonio Santurro;100 Tsd. €  
4;Caio Vinicius Pirana;75 Tsd. €  
5;Federico Ravaglia;50 Tsd. €  
6;Lyanco;8,00 Mio. €  
7;Filip Helander;2,00 Mio. €  
8;Arturo Calabresi;1,80 Mio. €  
9;Alex Ferrari;1,50 Mio. €  
10;Giancarlo González;1,00 Mio. €  
11;Sebastien De Maio;1,00 Mio. €  
12;Danilo;800 Tsd. €  
13;Gabriele Corbo;800 Tsd. €  
14;Nehuén Paz;400 Tsd. €  
15;Fabrizio Brignani;125 Tsd. €  
16;Mitchell Dijks;2,00 Mio. €  
17;Ibrahima Mbaye;3,00 Mio. €  
18;Emil Krafth;2,50 Mio. €  
19;Federico Mattiello;2,50 Mio. €  
20;Hamza El Kaouakibi;100 Tsd. €  
21;Erick Pulgar;10,00 Mio. €  
22;Ádám Nagy;2,00 Mio. €  
23;Lorenzo Crisetig;800 Tsd. €  
24;Mattia Cozzari;75 Tsd. €  
25;Godfred Donsah;7,00 Mio. €  
26;Roberto Soriano;7,00 Mio. €  
27;Mattias Svanberg;4,00 Mio. €  
28;Andrea Poli;3,00 Mio. €  
29;Kingsley Michael;1,00 Mio. €  
30;Blerim Dzemaili;1,00 Mio. €  
31;Luca Rizzo;800 Tsd. €  
32;Juan Manuel Valencia;300 Tsd. €  
33;Giordano Trovade;75 Tsd. €  
34;Ladislav Krejci;2,75 Mio. €  
35;César Falletti;2,00 Mio. €  
36;Nicola Sansone;7,50 Mio. €  
37;Andrea Vassallo;150 Tsd. €  
38;Riccardo Orsolini;15,00 Mio. €  
39;Simone Edera;1,00 Mio. €  
40;Orji Okwonkwo;1,00 Mio. €  
41;Aaron Mattia Tabacchi;25 Tsd. €  
42;Federico Santander;6,00 Mio. €  
43;Felipe Avenatti;5,00 Mio. €  
44;Mattia Destro;3,50 Mio. €  
45;Diego Falcinelli;3,00 Mio. €  
46;Rodrigo Palacio;500 Tsd. €  
47;Simone Rossetti;150 Tsd. €  
0;Alfred Gomis;2,00 Mio. €  
1;Vanja Milinković-Savić;1,20 Mio. €  
2;Emiliano Viviano;1,00 Mio. €  
3;Andrea Fulignati;500 Tsd. €  
4;Giacomo Poluzzi;100 Tsd. €  
5;Demba Thiam;100 Tsd. €  
6;Maurice Gomis;50 Tsd. €  
7;Kevin Bonifazi;5,50 Mio. €  
8;Francesco Vicari;5,00 Mio. €  
9;Lorenco Simic;1,00 Mio. €  
10;Bartosz Salamon;800 Tsd. €  
11;Johan Djourou;800 Tsd. €  
12;Thiago Cionek;800 Tsd. €  
13;Sauli Väisänen;600 Tsd. €  
14;Felipe;500 Tsd. €  
15;Michele Cremonesi;400 Tsd. €  
16;Fabio Della Giovanna;150 Tsd. €  
17;Matteo Salvi;50 Tsd. €  
18;Ricardo Farcas;50 Tsd. €  
19;Thomas Coulange; 
20;Vasco Regini;1,40 Mio. €  
21;Filippo Costa;800 Tsd. €  
22;Riccardo Mastrilli;100 Tsd. €  
23;Federico Viviani;3,00 Mio. €  
24;Simone Missiroli;2,00 Mio. €  
25;Everton Luiz;1,00 Mio. €  
26;Mirko Valdifiori;500 Tsd. €  
27;Salvatore Esposito;300 Tsd. €  
28;Jasmin Kurtic;6,00 Mio. €  
29;Alessandro Murgia;5,00 Mio. €  
30;Mattia Valoti;1,00 Mio. €  
31;Pasquale Schiattarella;1,00 Mio. €  
32;Mattia Vitale;400 Tsd. €  
33;Shaka Mawuli;200 Tsd. €  
34;Alessandro Bellemo;150 Tsd. €  
35;Andrea Rizzo Pinna;50 Tsd. €  
36;Karolis Uzela;50 Tsd. €  
37;Manuel Lazzari;18,00 Mio. €  
38;Lorenzo Dickmann;1,60 Mio. €  
39;Gabriel Strefezza;300 Tsd. €  
40;Mohamed Fares;6,00 Mio. €  
41;Marco Spina;50 Tsd. €  
42;Lazar Nikolic;75 Tsd. €  
43;Marko Jankovic;1,80 Mio. €  
44;Andrea Petagna;20,00 Mio. €  
45;Gabriele Moncini;2,00 Mio. €  
46;Alberto Paloschi;2,00 Mio. €  
47;Mattia Finotto;800 Tsd. €  
48;Mirco Antenucci;800 Tsd. €  
49;Sergio Floccari;300 Tsd. €  
50;Jacopo Murano;150 Tsd. €  
0;Adrian Semper;1,00 Mio. €  
1;Stefano Sorrentino;500 Tsd. €  
2;Andrea Seculin;300 Tsd. €  
3;Alessandro Confente;125 Tsd. €  
4;Lorenzo Sarini;50 Tsd. €  
5;Filippo Pavoni;25 Tsd. €  
6;Michele Bragantini; 
7;Elia Caprile; 
8;Mattia Bani;2,50 Mio. €  
9;Federico Barba;2,00 Mio. €  
10;Martin Valjent;1,50 Mio. €  
11;Nenad Tomović;600 Tsd. €  
12;Luca Rossettini;500 Tsd. €  
13;Marco Andreolli;500 Tsd. €  
14;Strahinja Tanasijevic;200 Tsd. €  
15;Bostjan Cesar;200 Tsd. €  
16;Matteo Solini;150 Tsd. €  
17;Michele Rigione;150 Tsd. €  
18;Edoardo Sbampato;100 Tsd. €  
19;Davide Mansi;75 Tsd. €  
20;Thadèe Kaleba;75 Tsd. €  
21;Cesare Pogliano;50 Tsd. €  
22;Davide Savi;25 Tsd. €  
23;Giovanni Nuti;25 Tsd. €  
24;Pawel Jaroszynski;400 Tsd. €  
25;Ansoumana Sané;200 Tsd. €  
26;Angelo Ndrecka; 
27;Fabio Depaoli;5,00 Mio. €  
28;Ezequiel Schelotto;3,00 Mio. €  
29;Fabrizio Cacciatore;800 Tsd. €  
30;Michele Troiani;225 Tsd. €  
31;Andrea Magrini;200 Tsd. €  
32;Nicolas Frey;100 Tsd. €  
33;Assane Dioussé;4,50 Mio. €  
34;Ivan Radovanovic;3,00 Mio. €  
35;Nicola Danieli;75 Tsd. €  
36;Mehdi Léris;2,50 Mio. €  
37;Joel Obi;2,00 Mio. €  
38;Sofian Kiyine;1,50 Mio. €  
39;Perparim Hetemaj;1,00 Mio. €  
40;Nicola Rigoni;800 Tsd. €  
41;Giovanni Di Noia;500 Tsd. €  
42;Gianluca Gaudino;500 Tsd. €  
43;Malick Mbaye;450 Tsd. €  
44;Yusupha Bobb;250 Tsd. €  
45;Massimo Bertagnoli;200 Tsd. €  
46;Mauro Burruchaga;50 Tsd. €  
47;Ibrahim Karamoko; 
48;Emanuele Giaccherini;600 Tsd. €  
49;Valter Birsa;2,00 Mio. €  
50;Luca Garritano;700 Tsd. €  
51;Victor da Silva;75 Tsd. €  
52;Lucas Piazón;1,50 Mio. €  
53;Musa Juwara;500 Tsd. €  
54;Kevin Yamga;400 Tsd. €  
55;Emanuel Vignato;2,50 Mio. €  
56;Manuel Pucciarelli;2,00 Mio. €  
57;Riccardo Meggiorini;500 Tsd. €  
58;Mariusz Stepinski;4,00 Mio. €  
59;Alejandro Rodríguez;400 Tsd. €  
60;Filip Djordjevic;400 Tsd. €  
61;Michael Fabbro;300 Tsd. €  
62;Ngissah Bismark;200 Tsd. €  
63;Andrea Isufaj;200 Tsd. €  
64;Sergej Grubac;200 Tsd. €  
65;Sergio Pellissier;200 Tsd. €  
66;Lorenzo Rivi;75 Tsd. €  
67;Damir Bartulovic;50 Tsd. €  
0;Marco Sportiello;4,00 Mio. €  
1;Francesco Bardi;800 Tsd. €  
2;Alessandro Iacobucci;400 Tsd. €  
3;Giuseppe Marcianò;50 Tsd. €  
4;Pier Paolo Salvati; 
5;Edoardo Goldaniga;2,00 Mio. €  
6;Lorenzo Ariaudo;1,00 Mio. €  
7;Emanuele Terranova;800 Tsd. €  
8;Bartosz Salamon;800 Tsd. €  
9;Luka Krajnc;800 Tsd. €  
10;Marco Capuano;700 Tsd. €  
11;Stefan Simic;500 Tsd. €  
12;Nicolò Brighenti;500 Tsd. €  
13;Francesco Verde;75 Tsd. €  
14;Andrea Beghetto;2,00 Mio. €  
15;Cristian Molinaro;300 Tsd. €  
16;Francesco Zampano;1,50 Mio. €  
17;Federico Viviani;3,00 Mio. €  
18;Raffaele Maiello;1,20 Mio. €  
19;Lorenzo Crisetig;800 Tsd. €  
20;Francesco Cassata;3,50 Mio. €  
21;Luca Valzania;1,70 Mio. €  
22;Raman Chibsah;1,50 Mio. €  
23;Mirko Gori;1,10 Mio. €  
24;Emil Hallfreðsson;500 Tsd. €  
25;Paolo Sammarco;200 Tsd. €  
26;Emmanuel Besea;200 Tsd. €  
27;Andrea Errico;75 Tsd. €  
28;Alessandro Gori;25 Tsd. €  
29;Paolo Ghiglione;1,00 Mio. €  
30;Danilo Soddimo;400 Tsd. €  
31;Rai Vloet;350 Tsd. €  
32;Joel Campbell;2,50 Mio. €  
33;Luca Paganini;1,50 Mio. €  
34;Luca Matarese;200 Tsd. €  
35;Andrea Pinamonti;10,00 Mio. €  
36;Camillo Ciano;3,00 Mio. €  
37;Joaquín Ardaiz;1,25 Mio. €  
38;Stipe Perica;1,00 Mio. €  
39;Federico Dionisi;1,00 Mio. €  
40;Marcello Trotta;1,00 Mio. €  
41;Daniel Ciofani;700 Tsd. €  
42;Nicola Citro;400 Tsd. €  
43;Michele Volpe;200 Tsd. €  
0;Bartlomiej Dragowski;10,00 Mio. €  
1;Ivan Provedel;900 Tsd. €  
2;Pietro Terracciano;800 Tsd. €  
3;Andrea Fulignati;500 Tsd. €  
4;Filippo Perucchini;350 Tsd. €  
5;Alessandro Giacomel;100 Tsd. €  
6;Gianluca Saro;50 Tsd. €  
7;Emanuele Fenderico;25 Tsd. €  
8;Jacob Rasmussen;4,00 Mio. €  
9;Dimitrios Nikolaou;2,50 Mio. €  
10;Simone Romagnoli;1,90 Mio. €  
11;Frédéric Veseli;900 Tsd. €  
12;Matías Silvestre;800 Tsd. €  
13;Domenico Maietta;300 Tsd. €  
14;Michal Marcjanik;300 Tsd. €  
15;Lorenzo Polvani;100 Tsd. €  
16;Simone Canestrelli;75 Tsd. €  
17;Marco Curto;75 Tsd. €  
18;Nikola Pejovic;50 Tsd. €  
19;Tommaso Di Renzone;25 Tsd. €  
20;Cristian Dell'Orco;1,00 Mio. €  
21;Luca Antonelli;500 Tsd. €  
22;Manuel Pasqual;300 Tsd. €  
